videoId,background_color_simplicity
bKjH8WhSu_E,0.15373867554284038
KMX1mFEmM3E,0.0005670362903225807
LooL6_chvN4,0.004754867145721925
0NAvTEQ9eXQ,0.04580907883986928
Qmla9NLFBvU,0.16026692708333334
fvPddKyHxpQ,0.002966048869680851
SWZ_4YBFBhs,0.001308454737544484
uD3p_rZPBUQ,0.0157964178856383
r6UcW9xLxwo,0.12607592205668605
CMGpPI0QocY,0.1627197265625
GhlLtd19szw,0.014795476740056818
CIx0a1vcYPc,0.008809407552083334
pasyRUj7UwM,None
iphcyNWFD10,0.056318803267045456
DRxAVA6gYMM,0.11643738677536232
oAHbLRjF0vo,0.017195991847826088
4fuHzC9aTik,0.10496029183884298
zUrDUxh5xS0,0.012956146501068376
ENK245mtPTo,0.054873046875
9KABcmczPdg,0.005032784598214286
Iy7NzjCmUf0,0.02548944382440476
sj8Sg8qnjOg,0.0962767887636612
-eQaF6OmWKw,0.001843874857305936
A-QgGXbDyR0,0.0478515625
9hUIxyE2Ns8,None
R2NzN1ew9j0,0.14366918756056202
T0Z73Zbtlyg,0.06989820075757576
iM_KMYulI_s,None
RF-Mqs2qC-M,0.09154613597972973
TclUk6-63QQ,0.09048383086369927
PuSkexkHRb0,0.032028030563186816
79_IsTV8X-c,0.08050979393115942
1zdZG6KFM0g,0.06026735167572464
PX5-XyBNi00,0.008705478060671722
FXATwX5bVp8,0.00592803955078125
Xjq_ow5DrWY,None
dFT2IKmwyfg,0.04992033305921053
kCC8UIPrASA,0.0522943853021978
zttC2x9nMEw,0.24466519742398649
RCXGpEmFbOw,0.017086356026785713
bBrUrgNf5y8,None
PRSoRkM8GcM,0.14921153675426135
pCON4zfMzjU,0.03844893606085526
IesIsKMjB4Y,0.07489079301075269
iR4CFiuR3tQ,0.040397875236742424
x0MjZOR89Fk,None
VFWbuKr5-I8,0.08718202172256098
eyqwLiowZiU,0.05274812940140845
r15_6z9xryo,0.1551541415127841
3SAxXUIre28,0.0845078125
bf7BXwVeyWw,0.00793084297471374
q7v5NtV8v6I,0.00789704675340467
CeuIop_j2bI,0.005115855823863636
p-MNSLsjjdo,None
TgA2y-Bgi3c,0.011497214988425927
zNzzGgr2mhk,0.08464226973684211
qaIghx4QRN4,0.0128204345703125
F-nNTGK0wFw,None
opqIa5Jiwuw,0.062245426014957264
kF4ju6j6aLE,0.005624787703804348
0g9SlVdv1PY,0.05315994122706422
c0bsKc4tiuY,0.024247911241319444
6N3hffFYe_U,0.01229034908234127
8HbvY1ZDhwg,0.10589608956259572
f7MzFfuNOtY,0.08397894965277777
mf5otGNbkuc,0.02313660738760965
FX1HaV_qjOM,0.030947332512842467
5ncOyYzOP3w,0.11667837747713415
IHZwWFHWa-w,0.0007362818058300395
LmpAntNjPj0,0.013396194677033494
6H_9l9N3IXU,0.0022708953373015875
r2Cd9gChRnc,0.014708968233471075
Ilg3gGewQ5U,0.00044296173278443113
NaL_Cb42WyY,0.00036984988990514903
Z5bTMIdn8O4,0.2876247829861111
hI9CaQD7P6I,0.12006971571180555
BxpjA9t4dJE,0.0022215448031767957
mQ-8gnnieRA,0.10679343894675926
eTOKcxIujgE,0.05454734519675926
dUFxaQc7B8k,0.025401317290145987
STpKoVY2ri8,0.23874722398477158
X32dce7_D48,0.2675012039811644
IOZO13rdhwU,0.0030200664813701925
w1f6o1HQBvg,0.0069552951388888885
CvKXdhB_y9I,0.016499503714139344
6S66jorlkeY,0.08973238760964912
VcOCCrKlXRM,0.006915752704326923
8N1cKs9JRq0,0.09303237452651515
wutztfYqk0I,0.024195815577651516
5njUvlLWoRI,0.1503401131465517
wEbiwj0CY4U,0.4036857745398773
CTXcB8w5JQc,None
MFZsxoen5Y0,None
b617FReb9YI,None
K-HFRtLaxqY,None
5q7BSLylhTo,None
HibcMLxj55g,None
J2z5uzqxJNU,None
DWKe6i-ia9c,None
LGW12hBxUbs,None
7rULs35adVA,None
