videoId,brightness,subject_size,text_density,entropy,background_lightning_ratio,background_color_simplicity
Gp3AORwr7bU,None,None,None,None,None,None
yZ0IwscaGCM,None,None,None,None,None,None
JI7hCC4Mv8k,None,None,None,None,None,None
YRgM1wSwtN8,None,None,None,None,None,None
mJz1DUUZ4VE,None,None,None,None,None,None
GItmC9lxeco,None,None,None,None,None,None
K4CoMMxQ_R8,None,None,None,None,None,None
WIUO8FDaLJA,None,None,None,None,None,None
0uYOC09peyk,None,None,None,None,None,None
bTn66fbOtOA,None,None,None,None,None,None
QKnPsHAWrpw,None,None,None,None,None,None
ekr3xXj6Cws,None,None,None,None,None,None
Oz_9PMI8U0Y,None,None,None,None,None,None
xBzO_tFkvkc,None,None,None,None,None,None
kagWliivBao,None,None,None,None,None,None
0Oazb7IWzbA,None,None,None,None,None,None
Sl3sWe53YXk,None,None,None,None,None,None
AkSPhZsXXqo,None,None,None,None,None,None
SPmKyg0249I,None,None,None,None,None,None
Js5TSCCK3bw,None,None,None,None,None,None
rwFKa-dm4oI,None,None,None,None,None,None
YmCZglIgkCE,None,None,None,None,None,None
O4ndIDcDSGc,None,None,None,None,None,None
hzpCwzaP38U,None,None,None,None,None,None
GwkwMYgcttI,None,None,None,None,None,None
LIZ78RwhSPc,None,None,None,None,None,None
uFczjcxFDpM,None,None,None,None,None,None
iFuR97YcSLM,None,None,None,None,None,None
ZMZOk2i1TBY,None,None,None,None,None,None
B9KITthfxS0,None,None,None,None,None,None
0HzxqWBSudQ,None,None,None,None,None,None
Ldi2ovn8E64,None,None,None,None,None,None
7DGH7IqGytM,None,None,None,None,None,None
FCSaXPYJ1zk,None,None,None,None,None,None
JGDoLc6ndWo,None,None,None,None,None,None
WYijIV5JrKg,None,None,None,None,None,None
t1Kcbba04Xs,None,None,None,None,None,None
azHtcHDDeXQ,None,None,None,None,None,None
TqRUNHhxdVg,None,None,None,None,None,None
-XZjgAh9BjM,None,None,None,None,None,None
7lhVUedc1a4,None,None,None,None,None,None
MysB4SfoWJw,None,None,None,None,None,None
xQHUHMeyT-4,None,None,None,None,None,None
haqgNwPVrso,None,None,None,None,None,None
5FUo-83-U3Q,None,None,None,None,None,None
1uKtNlPLPZw,None,None,None,None,None,None
0C5UQbWzwg8,None,None,None,None,None,None
