videoId,title,author,viewCount,likes,dislikes,tags,lengthSeconds,IsEducational,brightness,entropy,text_density,subjet_size,background_lightning_ratio,background_color_simplicity,voice_frequencies,non_voice_frequencies,mfcc_shape,mfcc_mean
bcjSe0xCHbE,Learn MapReduce with Playing Cards,Jesse Anderson,247373,2041.0,79.0,"MapReduce (Software),Playing Card (Fictional Object),Apache Hadoop (Software)",584.0,1.0,171.91283437450542,8.915407925680583,5.2265451883507446,38.9400423393479,1.4555450856420056,0.11332715678418805,2.663259143518072,1.3220766103539212,"[58355, 13]","[18.0814112 , 9.31282927, 1.63763461, 2.68445832, 1.08565186, 0.61348405,-0.33361495, 0.31898839,-0.64921171, 0.69505199,-0.3037165 ,-0.60922494, 0.23158743]"
9s-vSeWej1U,What is Hadoop?,Intricity101,531797,1927.0,131.0,"Hadoop,What is Hadoop,Apache Hadoop (Software),Map Reduce,intricity101",187.0,1.0,203.7302942858096,5.659367330827832,12.50225212928587,46.564263030501564,0.9104762292408906,0.003681383634868421,2.7958403507592497,2.2157666609967146,"[18636, 13]","[ 1.87348683e+01, 1.04066011e+01, 7.43905449e-01, 2.95191028e+00,-1.41452274e+00,-6.40813201e-01,-1.81508472e+00, 7.12362554e-01,-7.34497744e-01,-9.45326526e-02,-7.35652933e-01, 1.32303547e-02,-6.51066616e-01]"
1z0ULvg_pW8,"Hub, Switch, & Router Explained - What's the difference?",PowerCert Animated Videos,1028892,15045.0,289.0,"How a router works,difference between hub switch and router,difference between switch and router,hub switch or router network devices explained,hub switch router,hub switch and router,how routers work,switch vs router,what is switch,what is hub",442.0,1.0,125.57233796296295,2.7784620677788068,7.288964965667915,19.86300327715356,6.527706519360563,0.001083545470505618,3.4430107940376713,1.7337326758749003,"[44108, 13]","[10.99366671, 7.58686736, 1.87703915, 1.49304117, 0.75625497,-0.34514118,-0.61792764,-0.28328524,-0.47413873,-0.27568075,-0.26159671, 0.40654661, 0.21535376]"
BgQFJ_UNIgw,What is NoSQL?,Intricity101,105214,880.0,32.0,"Big Data,Neo4j,NoSQL,Cassandra,Couchbase,Intricity101,CouchDB,intricity101,MongoDB,What is NoSQL,database",336.0,1.0,204.630712593462,3.085117963239401,7.658151843157714,38.606938243476854,1.3212333146556123,0.0015689625459558824,5.424939431710923,2.815454596443505,"[33518, 13]","[19.98286145, 9.32192464, 0.66702955, 3.37112754, 1.19276287, 0.45025075,-1.02120347, 0.78855671,-0.82391114,-0.26567736, 0.12857474,-0.09293068,-0.10138937]"
2-Ol7ZB0MmU,A friendly introduction to Convolutional Neural Networks and Image Recognition,Luis Serrano,249955,6428.0,88.0,"machine learning,neural networks,multilayer perceptrons,convolutional neural networks,computer vision,image recognition,artificial intelligence,deep learning",1928.0,1.0,240.96906007124352,1.9459594242288945,3.240426089342257,33.35452845018351,0.09015748612133732,0.000860184585492228,1.2064383834968664,0.5721397686241834,"[192716, 13]","[17.74734422, 8.13712098,-0.85911439, 4.0495981 , 0.70923182,-0.84393882,-0.84641263,-0.12502884,-0.73783935, 0.02400252, 0.18980343,-0.12737256, 0.15080405]"
711VklH-4fA,10 Times Michio Kaku Blew Our Minds,ScienceToday,3922732,,,"Michio Kaku,Arguments,science,sciencetoday",1283.0,0.0,64.6589597435014,7.955643323126253,5.370272981517509,31.01734591169477,1.106733373856012,0.016457168044747082,0,0,0,0
d4EgbgTm0Bg,"What are quaternions, and how do you visualize them?  A story of four dimensions.",3Blue1Brown,600414,23589.0,177.0,"Mathematics,three blue one brown,3 blue 1 brown,3b1b,3brown1blue,3 brown 1 blue,three brown one blue",1911.0,1.0,23.49790243894147,2.7334304129343017,4.875205398262981,31.63922800850377,0.2534463703751429,0.005867661757506528,2.182471347344585,1.0461528884936173,"[191038, 13]","[18.86381577,13.27492659, 3.95852654, 2.79867025, 0.71595127, 0.38129569,-0.99604678,-0.55320282,-0.25642352,-0.07459323,-0.50014341,-0.29962184, 0.04000503]"
yuD34tEpRFw,Time Dilation - Einstein's Theory Of Relativity Explained!,Science ABC,1418032,18641.0,687.0,"Time Dilation,Theory of Relativity,Einstein,General Relativity,special relativity",495.0,1.0,150.5706529268378,4.921377163705576,1.1320628156565655,28.01969565446128,1.1001744281910129,0.012939453125,2.88931294830192,1.5198812207263583,"[49432, 13]","[ 9.65298738, 7.15134583, 1.63256869, 3.31682288, 0.32683644, 0.70920037, 0.07380963, 0.16409398,-0.09862318,-0.15459899, 0.14035317, 0.1611885 , 0.03549257]"
wCrtk-pyP0I,How Microwaving Grapes Makes Plasma,Veritasium,1657954,66834.0,1133.0,"veritasium,science,physics,microwave,grape,plasma,spark,microwaving,explanation,explained,how,index of refraction,resonance,standing waves,electromagnetic radiation,wavelength,experiment,grapes,glowing,glow,light,absorption,hydrogel,sparks,size",496.0,1.0,133.52159699435765,8.630268416957106,1.6437630208333334,36.74284939236111,2.0065021872691933,0.06918701171875,7.59655980704641,3.752877219756562,"[49525, 13]","[20.22102189, 9.81735645, 0.5946292 , 2.53706353, 1.45754063,-0.17264385,-0.86356586, 0.08145293,-0.60749301, 0.6338353 ,-0.06121278,-0.38119757, 0.31428586]"
AD3K8j12EIE,Neural Differential Equations,Siraj Raval,66723,3231.0,110.0,"neural network,deep learning,siraj raval,neurips,programming,python,coding,education,tutorial,math,mathematics,calculus,linear algebra,matrix,matrix operation,derivative,integral,physics,euler,reinforcement learning,data science,artificial intelligence,ai,neural net,machine learning,computer science",2118.0,1.0,229.93516089481378,4.584906136916293,13.71641044696672,34.769292995364914,0.3225504982299675,0.003203769899764151,7.62054528730795,3.666670092498781,"[211789, 13]","[19.17229362,10.35719768, 0.3640261 , 2.39014675, 1.19682856,-0.98465052,-0.5195836 ,-0.3494442 ,-0.1467417 , 0.44994178,-0.3061793 , 0.35478644, 0.37954746]"
